Região Administrativa;Região de Governo;Município;Núcleo Regional;Unidades do CEETEPS;Código da Unidade;Número da Turma; Turma;Tipo de Ensino;Eixo Tecnológico/Educação Básica;Área Profissional;Habilitação/Curso;Período;Sexo Feminino;Sexo Masculino;Total de Alunos; Médio na ETEC;Médio em outra ETEC;Médio fora do CPS;Médio Concluído;Aprovados;Promoção Parcial;Retidos por Frequência;Retidos por Rendimento; Retidos por Frequencia e Rendimento; Retenção Parcial;Desistências;Transferências Expedidas;Transferências Recebidas;Trancamentos
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes;028;286.730.627;1º Módulo;Técnico;Recursos Naturais;Agropecuária;Agronegócio;Noite;11;12;23;1;0;9;13;12;0;0;0;3;0;7;0;0;1;
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes;028;286.730.825;3º Módulo;Técnico;Recursos Naturais;Agropecuária;Agronegócio;Noite;2;9;11;6;0;0;5;11;0;0;0;0;0;0;0;0;0;
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes;028;286.730.734;2º Módulo;Técnico;Recursos Naturais;Agropecuária;Agronegócio;Noite;16;18;34;25;0;0;9;28;0;0;0;1;0;3;0;0;2;
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes;028;285.348.116;2ª Série;Integrado;Recursos Naturais;Agropecuária;Agropecuária (Alternância) - MTec-PI ;Manhã e Tarde;15;21;36;0;0;0;0;33;0;0;0;1;0;0;2;0;0;
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes;028;285.347.811;1ª Série;Integrado;Recursos Naturais;Agropecuária;Agropecuária (Alternância) - MTec-PI ;Manhã e Tarde;14;23;37;0;0;0;0;33;0;0;3;1;0;0;0;0;0;
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes;028;285.348.256;3ª Série;Integrado;Recursos Naturais;Agropecuária;Agropecuária (Alternância) - MTec-PI ;Manhã e Tarde;10;20;30;0;0;0;0;30;0;0;0;0;0;0;0;0;0;
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes;028;285.348.033;1ª Série;Integrado;Recursos Naturais;Agropecuária;Agropecuária - MTec-PI;Manhã e Tarde;16;24;40;0;0;0;0;38;0;0;0;0;0;0;2;0;0;
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes;028;285.348.355;3ª Série;Integrado;Recursos Naturais;Agropecuária;Agropecuária - MTec-PI;Manhã e Tarde;6;20;26;0;0;0;0;26;0;0;0;0;0;0;0;0;0;
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes;028;285.348.165;2ª Série;Integrado;Recursos Naturais;Agropecuária;Agropecuária - MTec-PI;Manhã e Tarde;18;19;37;0;0;0;0;36;0;0;1;0;0;0;0;0;0;
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes (EE Alice Marques da Silva Rocha);028.01 - Ext/Etec;286.731.344;2º Módulo;Técnico;Gestão e Negócios;Gestão;Administração;Noite;26;12;38;1;0;15;22;32;0;0;0;0;0;2;0;0;4;
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes (EE Alice Marques da Silva Rocha);028.01 - Ext/Etec;286.731.419;3º Módulo;Técnico;Informação e Comunicação;Informática;Informática para Internet;Noite;2;15;17;0;0;5;12;14;0;0;0;3;0;0;0;0;0;
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes (EE Alice Marques da Silva Rocha);028.01 - Ext/Etec;286.731.294;1º Módulo;Técnico;Informação e Comunicação;Informática;Informática para Internet;Noite;6;18;24;1;0;19;4;21;0;0;0;0;0;0;0;0;3;
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes (EE Alice Marques da Silva Rocha);028.01 - Ext/Etec;286.731.450;3º Módulo;Técnico;Gestão e Negócios;Comércio;Marketing;Noite;5;1;6;0;0;0;6;5;0;0;0;0;0;0;0;0;1;
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes (EE Alice Marques da Silva Rocha);028.01 - Ext/Etec;286.731.518;3º Módulo;Técnico;Gestão e Negócios;Gestão;Recursos Humanos;Noite;11;3;14;0;0;2;12;14;0;0;0;0;0;0;0;0;0;
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes (EE Alice Marques da Silva Rocha);028.01 - Ext/Etec;286.731.237;1º Módulo;Técnico;Gestão e Negócios;Gestão;Recursos Humanos;Noite;23;9;32;0;0;8;24;21;0;0;0;6;0;0;0;0;5;
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes (EE Doutor Alvaro Guião);028.05 - Ext/Etec;285.448.304;3ª Série;Integrado;Informação e Comunicação;Informática;Informática para Internet - MTec (Intercomplementar);Manhã;6;7;13;0;0;0;0;13;0;0;0;0;0;0;0;0;0;
