Região Administrativa;Região de Governo;Município;Núcleo Regional;Unidades do CEETEPS;Código da Unidade;Número da Turma; Turma;Tipo de Ensino;Eixo Tecnológico/Educação Básica;Área Profissional;Habilitação/Curso;Período;Sexo Feminino;Sexo Masculino;Total de Alunos; Médio na ETEC;Médio em outra ETEC;Médio fora do CPS;Médio Concluído;Aprovados;Promoção Parcial;Retidos por Frequência;Retidos por Rendimento; Retidos por Frequencia e Rendimento; Retenção Parcial;Desistências;Transferências Expedidas;Transferências Recebidas;Trancamentos
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes;028;285.334.058;1º Módulo;Técnico;Recursos Naturais;Agropecuária;Agronegócio;Noite;17;22;39;27;0;0;12;34;0;0;0;0;0;2;0;0;3;
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes;028;285.334.892;3º Módulo;Técnico;Recursos Naturais;Agropecuária;Agronegócio;Noite;10;16;26;13;0;3;10;22;0;0;0;0;0;0;0;0;4;
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes;028;285.334.355;2º Módulo;Técnico;Recursos Naturais;Agropecuária;Agronegócio;Noite;3;10;13;6;0;0;7;11;0;0;1;0;0;0;0;0;1;
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes;028;285.348.116;2ª Série;Integrado;Recursos Naturais;Agropecuária;Agropecuária (Alternância) - MTec-PI ;Manhã e Tarde;17;22;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes;028;285.347.811;1ª Série;Integrado;Recursos Naturais;Agropecuária;Agropecuária (Alternância) - MTec-PI ;Manhã e Tarde;13;27;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes;028;285.348.256;3ª Série;Integrado;Recursos Naturais;Agropecuária;Agropecuária (Alternância) - MTec-PI ;Manhã e Tarde;11;19;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes;028;285.348.033;1ª Série;Integrado;Recursos Naturais;Agropecuária;Agropecuária - MTec-PI;Manhã e Tarde;14;26;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes;028;285.348.165;2ª Série;Integrado;Recursos Naturais;Agropecuária;Agropecuária - MTec-PI;Manhã e Tarde;18;22;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes;028;285.348.355;3ª Série;Integrado;Recursos Naturais;Agropecuária;Agropecuária - MTec-PI;Manhã e Tarde;6;21;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes (EE Alice Marques da Silva Rocha);028.01 - Ext/Etec;285.335.139;1º Módulo;Técnico;Gestão e Negócios;Gestão;Administração;Noite;24;16;40;1;0;18;21;36;0;0;0;0;0;1;0;0;3;
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes (EE Alice Marques da Silva Rocha);028.01 - Ext/Etec;285.335.477;2º Módulo;Técnico;Informação e Comunicação;Informática;Informática para Internet;Noite;10;23;33;3;0;3;27;19;0;0;0;1;0;6;0;0;7;
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes (EE Alice Marques da Silva Rocha);028.01 - Ext/Etec;285.335.667;2º Módulo;Técnico;Gestão e Negócios;Comércio;Marketing;Noite;7;3;10;0;0;0;10;6;0;0;0;1;0;2;0;0;1;
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes (EE Alice Marques da Silva Rocha);028.01 - Ext/Etec;285.336.079;3º Módulo;Técnico;Gestão e Negócios;Gestão;Recursos Humanos;Noite;14;6;20;2;0;6;12;13;0;0;0;2;0;1;0;0;4;
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes (EE Alice Marques da Silva Rocha);028.01 - Ext/Etec;285.335.865;2º Módulo;Técnico;Gestão e Negócios;Gestão;Recursos Humanos;Noite;18;3;21;0;0;1;20;12;0;0;0;2;0;5;0;0;2;
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes (EE Alice Marques da Silva Rocha);028.01 - Ext/Etec;285.336.186;3º Módulo;Técnico;Gestão e Negócios;Gestão;Serviços Públicos;Noite;6;2;8;1;0;4;3;5;0;0;0;0;0;3;0;0;0;
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes (EE Doutor Alvaro Guião);028.05 - Ext/Etec;285.448.304;3ª Série;Integrado;Informação e Comunicação;Informática;Informática para Internet - MTec (Intercomplementar);Manhã;6;7;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes (EE Prof. João Brembatti Calvoso);028.04 - Ext/Etec;284.366.571;3ª Série;Integrado;Gestão e Negócios;Gestão;Serviços Jurídicos - MTec (Intercomplementar);Tarde;7;9;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Araçatuba;Andradina;Castilho;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes (EE Armel Miranda);028.06 - Ext/Etec;285.448.478;3ª Série;Integrado;Gestão e Negócios;Gestão;Administração - MTec (Intercomplementar);Tarde e Noite;23;13;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Araçatuba;Andradina;Ilha Solteira;Bauru/Araçatuba;Etec de Ilha Solteira;065;285.562.096;3ª Série;Médio;Educação Básica;Educação Básica - Ensino Médio;Ensino Médio - Ciências Biológicas, Agrárias e da Saúde;Manhã;25;14;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Araçatuba;Andradina;Ilha Solteira;Bauru/Araçatuba;Etec de Ilha Solteira;065;285.561.619;1ª Série;Médio;Educação Básica;Educação Básica - Ensino Médio;Ensino Médio com Itinerário Formativo de Ciências da Natureza e suas Tecnologias;Manhã;22;18;40;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
Araçatuba;Andradina;Ilha Solteira;Bauru/Araçatuba;Etec de Ilha Solteira;065;285.561.932;2ª Série;Médio;Educação Básica;Educação Básica - Ensino Médio;Ensino Médio com Itinerário Formativo de Ciências da Natureza e suas Tecnologias;Manhã;17;23;40;0;0;0;0;0;0;0;0;0;0;0;2;0;0;
Araçatuba;Andradina;Ilha Solteira;Bauru/Araçatuba;Etec de Ilha Solteira;065;285.567.251;2º Módulo;Técnico;Recursos Naturais;Agropecuária;Agronegócio;Noite;15;14;29;5;0;6;18;23;0;0;1;0;0;0;0;0;5;
Araçatuba;Andradina;Ilha Solteira;Bauru/Araçatuba;Etec de Ilha Solteira;065;285.567.335;2º Módulo;Técnico;Informação e Comunicação;Informática;Desenvolvimento de Sistemas;Noite;9;20;29;0;0;4;25;20;3;0;1;0;0;2;0;0;3;
Araçatuba;Andradina;Ilha Solteira;Bauru/Araçatuba;Etec de Ilha Solteira;065;285.567.475;2º Módulo;Técnico;Controle e Processos Industriais;Indústria;Eletroeletrônica;Tarde;2;8;10;0;0;1;9;6;0;0;0;0;0;4;0;0;0;
Araçatuba;Andradina;Ilha Solteira;Bauru/Araçatuba;Etec de Ilha Solteira;065;285.567.715;3º Módulo;Técnico;Controle e Processos Industriais;Indústria;Eletrotécnica;Noite;4;32;36;2;0;7;27;36;0;0;0;0;0;0;0;0;0;
Araçatuba;Andradina;Ilha Solteira;Bauru/Araçatuba;Etec de Ilha Solteira;065;285.567.574;1º Módulo;Técnico;Controle e Processos Industriais;Indústria;Eletrotécnica;Noite;3;37;40;3;0;5;32;30;0;0;3;0;0;7;0;0;0;
Araçatuba;Andradina;Ilha Solteira;Bauru/Araçatuba;Etec de Ilha Solteira;065;285.568.507;3º Módulo;Técnico;Ambiente e Saúde;Saúde;Enfermagem;Noite;31;4;35;0;0;0;35;30;0;0;1;0;0;1;0;0;3;
Araçatuba;Andradina;Ilha Solteira;Bauru/Araçatuba;Etec de Ilha Solteira;065;285.567.814;1º Módulo;Técnico;Ambiente e Saúde;Saúde;Enfermagem;Noite;35;5;40;0;0;1;39;34;0;0;2;0;0;4;0;0;0;
Araçatuba;Andradina;Ilha Solteira;Bauru/Araçatuba;Etec de Ilha Solteira;065;285.568.762;4º Módulo;Técnico;Ambiente e Saúde;Saúde;Enfermagem;Noite;24;7;31;0;0;1;30;30;0;0;0;0;0;0;0;0;1;
Araçatuba;Andradina;Ilha Solteira;Bauru/Araçatuba;Etec de Ilha Solteira;065;285.569.679;1º Módulo;Técnico;Ambiente e Saúde;Saúde;Farmácia;Noite;36;4;40;5;0;7;28;27;0;0;1;0;0;12;0;0;0;
Araçatuba;Andradina;Ilha Solteira;Bauru/Araçatuba;Etec de Ilha Solteira;065;285.569.786;1º Módulo;Técnico;Controle e Processos Industriais;Indústria;Mecânica;Noite;6;34;40;2;0;6;32;25;0;0;2;0;0;13;0;0;0;
Araçatuba;Andradina;Ilha Solteira;Bauru/Araçatuba;Etec de Ilha Solteira;065;285.569.927;2º Módulo;Técnico;Controle e Processos Industriais;Indústria;Mecânica;Noite;3;29;32;2;0;6;24;28;0;0;0;0;0;4;0;0;0;
