Região Administrativa;Região de Governo;Município;Núcleo Regional;Unidades do CEETEPS;Código da Unidade;Número da Turma; Turma;Tipo de Ensino;Eixo Tecnológico/Educação Básica;Área Profissional;Habilitação/Curso;Período;Sexo Feminino;Sexo Masculino;Total de Alunos; Médio na ETEC;Médio em outra ETEC;Médio fora do CPS;Médio Concluído;Aprovados;Promoção Parcial;Retidos por Frequência;Retidos por Rendimento; Retidos por Frequencia e Rendimento; Retenção Parcial;Desistências;Transferências Expedidas;Transferências Recebidas;Trancamentos
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes;028;296.468.366;1º Módulo;Técnico;Recursos Naturais;Agropecuária;Agronegócio;Noite;11;29;40;24;0;5;11;30;0;0;1;0;0;4;0;0;5;
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes;028;296.468.390;3º Módulo;Técnico;Recursos Naturais;Agropecuária;Agronegócio;Noite;13;16;29;0;20;0;9;24;0;0;1;0;0;3;0;0;1;
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes;028;296.468.374;2º Módulo;Técnico;Recursos Naturais;Agropecuária;Agronegócio;Noite;8;5;13;0;0;0;13;9;0;0;0;0;0;4;0;0;0;
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes;028;296.468.960;1ª Série;Integrado;Recursos Naturais;Agropecuária;Agropecuária (Alternância) - MTec-PI ;Manhã e Tarde;9;31;40;0;0;0;0;0;0;0;0;0;0;0;6;0;0;
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes;028;296.506.801;2ª Série;Integrado;Recursos Naturais;Agropecuária;Agropecuária (Alternância) - MTec-PI ;Manhã e Tarde;15;23;38;0;0;0;0;0;0;0;0;0;0;0;6;0;0;
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes;028;296.506.827;3ª Série;Integrado;Recursos Naturais;Agropecuária;Agropecuária (Alternância) - MTec-PI ;Manhã e Tarde;13;18;31;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes;028;296.468.911;2ª Série;Integrado;Recursos Naturais;Agropecuária;Agropecuária - MTec-PI;Manhã e Tarde;15;24;39;0;0;0;0;0;0;0;0;0;0;0;2;0;0;
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes;028;296.468.945;3ª Série;Integrado;Recursos Naturais;Agropecuária;Agropecuária - MTec-PI;Manhã e Tarde;17;18;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes;028;296.468.820;1ª Série;Integrado;Recursos Naturais;Agropecuária;Agropecuária - MTec-PI;Manhã e Tarde;18;21;39;0;0;0;0;0;0;0;0;0;0;0;12;0;0;
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes (EE Doutor Alvaro Guião);028.05 - Ext/Etec;296.506.892;3º Módulo;Técnico;Gestão e Negócios;Gestão;Administração;Noite;23;13;36;0;0;14;22;26;0;0;2;0;0;3;0;0;5;
