Região Administrativa;Região de Governo;Município;Núcleo Regional;Unidades do CEETEPS;Código da Unidade;Número da Turma; Turma;Tipo de Ensino;Eixo Tecnológico/Educação Básica;Área Profissional;Habilitação/Curso;Período;Sexo Feminino;Sexo Masculino;Total de Alunos; Médio na ETEC;Médio em outra ETEC;Médio fora do CPS;Médio Concluído;Aprovados;Promoção Parcial;Retidos por Frequência;Retidos por Rendimento; Retidos por Frequencia e Rendimento; Retenção Parcial;Desistências;Transferências Expedidas;Transferências Recebidas;Trancamentos
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes;028;296.746.887;2º Módulo;Técnico;Recursos Naturais;Agropecuária;Agronegócio;Noite;9;21;30;20;0;5;5;26;0;0;2;0;0;1;0;0;1;
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes;028;296.746.908;3º Módulo;Técnico;Recursos Naturais;Agropecuária;Agronegócio;Noite;4;5;9;0;0;0;9;6;0;0;3;0;0;0;0;0;0;
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes;028;296.746.881;1º Módulo;Técnico;Recursos Naturais;Agropecuária;Florestas;Noite;24;14;38;13;0;7;18;25;0;0;2;0;0;10;0;0;1;
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes;028;296.468.960;1ª Série;Integrado;Recursos Naturais;Agropecuária;Agropecuária (Alternância) - MTec-PI ;Manhã e Tarde;9;26;35;0;0;0;0;34;0;0;1;0;0;0;0;0;0;
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes;028;296.506.801;2ª Série;Integrado;Recursos Naturais;Agropecuária;Agropecuária (Alternância) - MTec-PI ;Manhã e Tarde;12;19;31;0;0;0;0;31;0;0;0;0;0;0;0;0;0;
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes;028;296.506.827;3ª Série;Integrado;Recursos Naturais;Agropecuária;Agropecuária (Alternância) - MTec-PI ;Manhã e Tarde;12;18;30;0;0;0;0;29;0;0;1;0;0;0;0;0;0;
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes;028;296.468.820;1ª Série;Integrado;Recursos Naturais;Agropecuária;Agropecuária - MTec-PI;Manhã e Tarde;12;16;28;0;0;0;0;26;0;0;0;0;0;0;2;0;0;
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes;028;296.468.945;3ª Série;Integrado;Recursos Naturais;Agropecuária;Agropecuária - MTec-PI;Manhã e Tarde;17;18;35;0;0;0;0;35;0;0;0;0;0;0;0;0;0;
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes;028;296.468.911;2ª Série;Integrado;Recursos Naturais;Agropecuária;Agropecuária - MTec-PI;Manhã e Tarde;15;23;38;0;0;0;0;37;0;0;0;0;0;0;1;0;0;
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes (EE Doutor Alvaro Guião);028.05 - Ext/Etec;296.746.921;1º Módulo;Técnico;Gestão e Negócios;Gestão;Administração;Noite;24;8;32;0;0;13;19;24;0;0;0;0;0;8;0;0;0;
