Região Administrativa;Região de Governo;Município;Núcleo Regional;Unidades do CEETEPS;Código;Tipo de Ensino;Eixo Tecnológico/Educação Básica;Área Profissional;Curso/Habilitação;Período;Inscritos;Vagas;Demanda
Barretos;Barretos;Bebedouro;Ribeirão Preto/Franca/Barretos;Etec Professor Ídio Zucchi;151;Técnico;Gestão e Negócios;Gestão;Contabilidade;Noite;43;40;1,07;
Barretos;Barretos;Bebedouro;Ribeirão Preto/Franca/Barretos;Etec Professor Ídio Zucchi;151;Técnico;Controle e Processos Industriais;Indústria;Mecânica;Noite;52;40;1,30;
Barretos;Barretos;Bebedouro;Ribeirão Preto/Franca/Barretos;Etec Professor Ídio Zucchi (Fundação Coopercitrus/Credicitrus - Bebedouro);151.8 - Cd_Cps;Técnico;Recursos Naturais;Agropecuária;Agronegócio;Noite;54;40;1,35;
Barretos;Barretos;Guaíra;Ribeirão Preto/Franca/Barretos;Etec de Guaíra;304;Técnico;Segurança;Saúde;Segurança do Trabalho;Noite;65;40;1,62;
Barretos;Barretos;Guaíra;Ribeirão Preto/Franca/Barretos;Etec de Guaíra;304;Técnico;Gestão e Negócios;Gestão;Seguros;Noite;41;40;1,02;
Barretos;Barretos;Olímpia;Ribeirão Preto/Franca/Barretos;Etec Professor José Carlos Seno Junior;232;Técnico;Gestão e Negócios;Gestão;Administração;Noite;72;40;1,80;
Bauru;Bauru;Bauru;Bauru/Araçatuba;Etec Astor de Mattos Carvalho (EE Prof. Christino Cabral);038.01 - Ext/Etec;Técnico;Gestão e Negócios;Gestão;Administração;Noite;84;40;2,10;
Bauru;Bauru;Bauru;Bauru/Araçatuba;Etec Rodrigues de Abreu;135;Técnico;Informação e Comunicação;Informática;Desenvolvimento de Sistemas;Noite;118;40;2,95;
Bauru;Bauru;Bauru;Bauru/Araçatuba;Etec Rodrigues de Abreu;135;Técnico;Ambiente e Saúde;Saúde;Enfermagem;Manhã;154;40;3,85;
Bauru;Bauru;Bauru;Bauru/Araçatuba;Etec Rodrigues de Abreu;135;Técnico;Gestão e Negócios;Gestão;Recursos Humanos;Noite;84;40;2,10;
Bauru;Bauru;Bauru;Bauru/Araçatuba;Etec Rodrigues de Abreu;135;Técnico;Segurança;Saúde;Segurança do Trabalho (MNP);Noite;78;40;1,95;
Bauru;Bauru;Bauru;Bauru/Araçatuba;Etec Rodrigues de Abreu (Faculdade de Odontologia de Bauru da USP - Bauru);135.3 - Cd_Cps;Técnico;Ambiente e Saúde;Saúde;Saúde Bucal;Noite;45;40;1,12;
Bauru;Bauru;Cabrália Paulista;Bauru/Araçatuba;Etec Astor de Mattos Carvalho;038;Técnico;Informação e Comunicação;Informática;Informática;Noite;54;35;1,54;
Bauru;Bauru;Lençóis Paulista;Bauru/Araçatuba;Etec Cidade do Livro;244;Técnico;Gestão e Negócios;Gestão;Logística;Noite;57;40;1,42;
Bauru;Bauru;Lençóis Paulista;Bauru/Araçatuba;Etec Cidade do Livro;244;Técnico;Produção Industrial;Química;Química;Noite;105;40;2,62;
Bauru;Bauru;Lençóis Paulista;Bauru/Araçatuba;Etec Cidade do Livro (EE Virgilio Capoani);244.01 - Ext/Etec;Técnico;Gestão e Negócios;Gestão;Administração;Noite;64;35;1,82;
Bauru;Bauru;Pederneiras;Bauru/Araçatuba;Etec Professor Urias Ferreira (EE Anchieta);090.01 - Ext/Etec;Técnico;Gestão e Negócios;Gestão;Administração;Noite;45;40;1,12;
Bauru;Jaú;Barra Bonita;Bauru/Araçatuba;Etec Comendador João Rays;040;Técnico;Gestão e Negócios;Gestão;Administração;Noite;66;40;1,65;
Bauru;Jaú;Barra Bonita;Bauru/Araçatuba;Etec Comendador João Rays;040;Técnico;Informação e Comunicação;Informática;Informática;Noite;71;40;1,77;
Bauru;Jaú;Barra Bonita;Bauru/Araçatuba;Etec Comendador João Rays;040;Técnico;Gestão e Negócios;Gestão;Recursos Humanos;Noite;67;40;1,67;
Bauru;Jaú;Itapuí;Bauru/Araçatuba;Etec Joaquim Ferreira do Amaral (EMEF Manuel Rodrigues Ferreira - Itapuí);070.4 - Cd_Cps;Técnico;Gestão e Negócios;Gestão;Logística;Noite;63;40;1,57;
Bauru;Jaú;Jaú;Bauru/Araçatuba;Etec Joaquim Ferreira do Amaral;070;Técnico;Gestão e Negócios;Gestão;Administração;Noite;84;40;2,10;
Bauru;Jaú;Jaú;Bauru/Araçatuba;Etec Joaquim Ferreira do Amaral;070;Técnico;Informação e Comunicação;Informática;Desenvolvimento de Sistemas;Noite;109;40;2,72;
Bauru;Jaú;Jaú;Bauru/Araçatuba;Etec Joaquim Ferreira do Amaral;070;Técnico;Controle e Processos Industriais;Indústria;Eletrotécnica;Noite;68;40;1,70;
Bauru;Jaú;Jaú;Bauru/Araçatuba;Etec Joaquim Ferreira do Amaral;070;Técnico;Ambiente e Saúde;Saúde;Enfermagem;Noite;119;40;2,97;
Bauru;Jaú;Jaú;Bauru/Araçatuba;Etec Joaquim Ferreira do Amaral;070;Técnico;Controle e Processos Industriais;Indústria;Soldagem;Noite;63;40;1,57;
Bauru;Lins;Cafelândia;Bauru/Araçatuba;Etec Professora Helcy Moreira Martins Aguiar;062;Técnico;Gestão e Negócios;Gestão;Qualidade;Noite;59;40;1,47;
Bauru;Lins;Cafelândia;Bauru/Araçatuba;Etec Professora Helcy Moreira Martins Aguiar;062;Técnico;Recursos Naturais;Agropecuária;Zootecnia;Noite;45;40;1,12;
Bauru;Lins;Guaiçara;Bauru/Araçatuba;Etec de Lins (EM Henrique Unger - Guaiçara);148.1 - Cd_Cps;Técnico;Segurança;Saúde;Segurança do Trabalho;Noite;56;40;1,40;
Bauru;Lins;Lins;Bauru/Araçatuba;Etec de Lins;148;Técnico;Gestão e Negócios;Gestão;Administração;Noite;87;40;2,17;
Bauru;Lins;Lins;Bauru/Araçatuba;Etec de Lins;148;Técnico;Infraestrutura;Construção Civil;Edificações;Noite;60;40;1,50;
Bauru;Lins;Lins;Bauru/Araçatuba;Etec de Lins;148;Técnico;Ambiente e Saúde;Saúde;Enfermagem;Tarde;63;40;1,57;
Bauru;Lins;Lins;Bauru/Araçatuba;Etec de Lins;148;Técnico;Produção Industrial;Química;Química;Noite;62;40;1,55;
Bauru;Lins;Lins;Bauru/Araçatuba;Etec de Lins (EE Fernando Costa);148.01 - Ext/Etec;Técnico;Gestão e Negócios;Gestão;Recursos Humanos;Noite;70;40;1,75;
Bauru;Lins;Lins;Bauru/Araçatuba;Etec de Lins (Unilins - Lins);148.5 - Cd_Cps;Técnico;Controle e Processos Industriais;Indústria;Mecatrônica;Noite;140;40;3,50;
Central;Araraquara;Araraquara;São José do Rio Preto/Central;Etec Professora Anna de Oliveira Ferraz;029;Técnico;Gestão e Negócios;Gestão;Administração;Noite;110;40;2,75;
Central;Araraquara;Araraquara;São José do Rio Preto/Central;Etec Professora Anna de Oliveira Ferraz;029;Técnico;Gestão e Negócios;Gestão;Comércio Exterior;Noite;57;40;1,42;
Central;Araraquara;Araraquara;São José do Rio Preto/Central;Etec Professora Anna de Oliveira Ferraz;029;Técnico;Informação e Comunicação;Informática;Desenvolvimento de Sistemas;Noite;117;40;2,92;
Central;Araraquara;Araraquara;São José do Rio Preto/Central;Etec Professora Anna de Oliveira Ferraz;029;Técnico;Controle e Processos Industriais;Indústria;Eletromecânica;Noite;96;40;2,40;
Central;Araraquara;Araraquara;São José do Rio Preto/Central;Etec Professora Anna de Oliveira Ferraz;029;Técnico;Ambiente e Saúde;Saúde;Enfermagem;Noite;136;40;3,40;
Central;Araraquara;Araraquara;São José do Rio Preto/Central;Etec Professora Anna de Oliveira Ferraz;029;Técnico;Gestão e Negócios;Gestão;Recursos Humanos;Noite;51;40;1,27;
Central;Araraquara;Borborema;São José do Rio Preto/Central;Etec Professora Marinês Teodoro de Freitas Almeida (EMEIF Profª Ana Rosa - Borborema);212.3 - Cd_Cps;Técnico;Gestão e Negócios;Gestão;Administração;Noite;59;40;1,47;
Central;Araraquara;Ibitinga;São José do Rio Preto/Central;Etec Vereador e Vice Prefeito Sérgio da Fonseca;161;Técnico;Gestão e Negócios;Gestão;Administração;Noite;76;40;1,90;
Central;Araraquara;Matão;São José do Rio Preto/Central;Etec Sylvio de Mattos Carvalho;103;;;;;Noite;70;30;2,33;
Central;Araraquara;Matão;São José do Rio Preto/Central;Etec Sylvio de Mattos Carvalho;103;Técnico;Gestão e Negócios;Gestão;Administração;Noite;119;40;2,97;
Central;Araraquara;Matão;São José do Rio Preto/Central;Etec Sylvio de Mattos Carvalho;103;Técnico;Informação e Comunicação;Informática;Desenvolvimento de Sistemas (MNP);Noite;68;40;1,70;
Central;Araraquara;Matão;São José do Rio Preto/Central;Etec Sylvio de Mattos Carvalho;103;Técnico;Controle e Processos Industriais;Indústria;Eletrotécnica;Noite;96;40;2,40;
Central;Araraquara;Matão;São José do Rio Preto/Central;Etec Sylvio de Mattos Carvalho;103;Técnico;Controle e Processos Industriais;Indústria;Mecânica;Noite;66;40;1,65;
Central;Araraquara;Taquaritinga;São José do Rio Preto/Central;Etec Doutor Adail Nunes da Silva;019;Técnico;Gestão e Negócios;Gestão;Administração;Noite;82;40;2,04;
Central;Araraquara;Taquaritinga;São José do Rio Preto/Central;Etec Doutor Adail Nunes da Silva;019;Técnico;Produção Alimentícia;Química;Alimentos;Noite;74;40;1,85;
Central;Araraquara;Taquaritinga;São José do Rio Preto/Central;Etec Doutor Adail Nunes da Silva;019;Técnico;Informação e Comunicação;Informática;Desenvolvimento de Sistemas;Noite;92;40;2,29;
Central;Araraquara;Taquaritinga;São José do Rio Preto/Central;Etec Doutor Adail Nunes da Silva;019;Técnico;Ambiente e Saúde;Saúde;Enfermagem;Tarde;76;40;1,90;
Central;Araraquara;Taquaritinga;São José do Rio Preto/Central;Etec Doutor Adail Nunes da Silva;019;Técnico;Produção Industrial;Química;Química;Noite;66;40;1,65;
Central;Araraquara;Taquaritinga;São José do Rio Preto/Central;Etec Doutor Adail Nunes da Silva;019;Técnico;Gestão e Negócios;Gestão;Recursos Humanos;Noite;64;40;1,60;
Central;São Carlos;Descalvado;Campinas Norte;Etec Professor Jadyr Salles (EM Professora Antônia Tenan Schlittler - Descalvado);202.1 - Cd_Cps;Técnico;Segurança;Saúde;Segurança do Trabalho;Noite;90;40;2,25;
Central;São Carlos;Ibaté;São José do Rio Preto/Central;Etec de Ibaté;263;Técnico;Gestão e Negócios;Gestão;Serviços Jurídicos;Noite;62;40;1,55;
Central;São Carlos;Santa Rita do Passa Quatro;Ribeirão Preto/Franca/Barretos;Etec Manoel dos Reis Araújo;083;Técnico;Ambiente e Saúde;Saúde;Enfermagem;Noite;81;40;2,02;
Central;São Carlos;São Carlos;São José do Rio Preto/Central;Etec Paulino Botelho;091;Técnico;Gestão e Negócios;Gestão;Administração;Noite;67;40;1,67;
Central;São Carlos;São Carlos;São José do Rio Preto/Central;Etec Paulino Botelho;091;Técnico;Controle e Processos Industriais;Indústria;Eletromecânica;Noite;56;40;1,40;
Central;São Carlos;São Carlos;São José do Rio Preto/Central;Etec Paulino Botelho;091;Técnico;Ambiente e Saúde;Saúde;Enfermagem;Noite;97;40;2,42;
Central;São Carlos;São Carlos;São José do Rio Preto/Central;Etec Paulino Botelho;091;Técnico;Controle e Processos Industriais;Indústria;Mecatrônica;Noite;101;40;2,52;
Central;São Carlos;São Carlos;São José do Rio Preto/Central;Etec Paulino Botelho (EE Attilia Prado Margarido);091.07 - Ext/Etec;Técnico;Gestão e Negócios;Gestão;Administração;Noite;32;40;0,80;
Franca;Franca;Batatais;Ribeirão Preto/Franca/Barretos;Etec Antonio de Pádua Cardoso;030;Técnico;Gestão e Negócios;Gestão;Administração;Noite;58;40;1,45;
Franca;Franca;Batatais;Ribeirão Preto/Franca/Barretos;Etec Antonio de Pádua Cardoso;030;Técnico;Ambiente e Saúde;Saúde;Enfermagem;Tarde;96;40;2,40;
Franca;Franca;Batatais;Ribeirão Preto/Franca/Barretos;Etec Antonio de Pádua Cardoso;030;Técnico;Turismo, Hospitalidade e Lazer;Turismo e Hospitalidade;Eventos;Noite;62;40;1,55;
Franca;Franca;Batatais;Ribeirão Preto/Franca/Barretos;Etec Antonio de Pádua Cardoso;030;Técnico;Ambiente e Saúde;Saúde;Farmácia;Noite;52;40;1,30;
Franca;Franca;Batatais;Ribeirão Preto/Franca/Barretos;Etec Antonio de Pádua Cardoso;030;Técnico;Informação e Comunicação;Informática;Informática;Noite;47;40;1,17;
Franca;Franca;Batatais;Ribeirão Preto/Franca/Barretos;Etec Antonio de Pádua Cardoso;030;Técnico;Controle e Processos Industriais;Indústria;Mecânica;Noite;55;40;1,37;
Franca;Franca;Franca;Ribeirão Preto/Franca/Barretos;Etec Doutor Júlio Cardoso;078;Técnico;Gestão e Negócios;Gestão;Contabilidade;Noite;53;40;1,32;
Franca;Franca;Franca;Ribeirão Preto/Franca/Barretos;Etec Doutor Júlio Cardoso;078;Técnico;Controle e Processos Industriais;Indústria;Eletrotécnica;Noite;79;40;1,97;
Franca;Franca;Franca;Ribeirão Preto/Franca/Barretos;Etec Doutor Júlio Cardoso;078;Técnico;Gestão e Negócios;Gestão;Recursos Humanos (MNP);Noite;56;40;1,40;
Franca;Franca;Franca;Ribeirão Preto/Franca/Barretos;Etec Professor Carmelino Correa Júnior;046;Técnico;Recursos Naturais;Agropecuária;Agronegócio;Noite;61;40;1,52;
Franca;Franca;Guará;Ribeirão Preto/Franca/Barretos;Etec Pedro Badran (EM Dr. Naufal Antonio Mourani - Guará);094.1 - Cd_Cps;Técnico;Gestão e Negócios;Gestão;Logística;Noite;45;30;1,50;
Franca;Franca;Ituverava;Ribeirão Preto/Franca/Barretos;Etec Professor José Ignácio Azevedo Filho;233;Técnico;Produção Industrial;Química;Química;Noite;53;40;1,32;
Franca;Franca;Ituverava;Ribeirão Preto/Franca/Barretos;Etec Professor José Ignácio Azevedo Filho;233;Técnico;Gestão e Negócios;Gestão;Transações Imobiliárias;Noite;50;40;1,25;
Franca;Franca;Miguelópolis;Ribeirão Preto/Franca/Barretos;Etec Laurindo Alves de Queiroz;079;Técnico;Gestão e Negócios;Gestão;Administração;Noite;55;40;1,37;
Franca;São Joaquim da Barra;Morro Agudo;Ribeirão Preto/Franca/Barretos;Etec Professor Alcídio de Souza Prado (EM Professora Maria Amália Volpon de Figueiredo - Morro Agudo);025.1 - Cd_Cps;Técnico;Gestão e Negócios;Gestão;Administração (MNP);Noite;38;40;0,95;
Franca;São Joaquim da Barra;Orlândia;Ribeirão Preto/Franca/Barretos;Etec Professor Alcídio de Souza Prado;025;Técnico;Gestão e Negócios;Gestão;Logística (MNP);Noite;71;40;1,77;
Franca;São Joaquim da Barra;Orlândia;Ribeirão Preto/Franca/Barretos;Etec Professor Alcídio de Souza Prado;025;Técnico;Gestão e Negócios;Gestão;Recursos Humanos (MNP);Noite;85;40;2,12;
Franca;São Joaquim da Barra;São Joaquim da Barra;Ribeirão Preto/Franca/Barretos;Etec Pedro Badran;094;Técnico;Gestão e Negócios;Gestão;Administração;Noite;101;40;2,52;
Franca;São Joaquim da Barra;São Joaquim da Barra;Ribeirão Preto/Franca/Barretos;Etec Pedro Badran;094;Técnico;Controle e Processos Industriais;Indústria;Eletrotécnica;Noite;76;40;1,90;
Franca;São Joaquim da Barra;São Joaquim da Barra;Ribeirão Preto/Franca/Barretos;Etec Pedro Badran;094;Técnico;Informação e Comunicação;Informática;Informática;Noite;69;40;1,72;
Franca;São Joaquim da Barra;São Joaquim da Barra;Ribeirão Preto/Franca/Barretos;Etec Pedro Badran;094;Técnico;Produção Industrial;Química;Química;Noite;69;40;1,72;
Itapeva;Itapeva;Angatuba;Sorocaba;Etec Professor Edson Galvão (EMEF Dr. Fortunato de Camargo - Angatuba);053.15 - Cd_Cps;Técnico;Recursos Naturais;Agropecuária;Agronegócio;Noite;47;35;1,34;
Itapeva;Itapeva;Fartura;Itapeva/Registro;Etec Professora Terezinha Monteiro dos Santos (EMEF João Batista de Oliveira - Fartura);140.3 - Cd_Cps;Técnico;Gestão e Negócios;Gestão;Administração;Noite;39;35;1,11;
Itapeva;Itapeva;Itapeva;Itapeva/Registro;Etec Doutor Demétrio Azevedo Júnior;050;Técnico;Informação e Comunicação;Informática;Desenvolvimento de Sistemas (MNP);Noite;94;40;2,35;
Itapeva;Itapeva;Itapeva;Itapeva/Registro;Etec Doutor Demétrio Azevedo Júnior;050;Técnico;Controle e Processos Industriais;Indústria;Eletrotécnica;Noite;115;40;2,87;
Itapeva;Itapeva;Itapeva;Itapeva/Registro;Etec Doutor Demétrio Azevedo Júnior;050;Técnico;Controle e Processos Industriais;Indústria;Eletrônica - Ead;Manhã;65;40;1,62;
Itapeva;Itapeva;Itapeva;Itapeva/Registro;Etec Doutor Demétrio Azevedo Júnior;050;Técnico;Produção Industrial;Química;Química (MNP);Noite;70;40;1,75;
Itapeva;Itapeva;Itararé;Itapeva/Registro;Etec de Itararé;243;Técnico;Gestão e Negócios;Gestão;Administração;Noite;62;40;1,55;
Itapeva;Itapeva;Piraju;Itapeva/Registro;Etec Waldyr Duron Junior;162;Técnico;Controle e Processos Industriais;Indústria;Eletrotécnica;Noite;78;40;1,95;
Itapeva;Itapeva;Piraju;Itapeva/Registro;Etec Waldyr Duron Junior;162;Técnico;Informação e Comunicação;Informática;Manutenção e Suporte em Informática;Noite;41;40;1,02;
Itapeva;Itapeva;Piraju;Itapeva/Registro;Etec Waldyr Duron Junior;162;Especialização;Controle e Processos Industriais;Indústria;Gestão de Energia;Noite;25;40;0,62;
Marília;Assis;Assis;Marília/Presidente Prudente;Etec Pedro D'Arcádia Neto;095;Técnico;Gestão e Negócios;Gestão;Administração;Noite;112;40;2,80;
Marília;Assis;Assis;Marília/Presidente Prudente;Etec Pedro D'Arcádia Neto;095;Técnico;Ambiente e Saúde;Saúde;Enfermagem;Manhã;83;40;2,07;
Marília;Assis;Assis;Marília/Presidente Prudente;Etec Pedro D'Arcádia Neto;095;Técnico;Gestão e Negócios;Comércio;Marketing;Noite;88;40;2,20;
Marília;Assis;Assis;Marília/Presidente Prudente;Etec Pedro D'Arcádia Neto;095;Técnico;Controle e Processos Industriais;Indústria;Mecânica;Noite;83;40;2,07;
Marília;Assis;Assis;Marília/Presidente Prudente;Etec Pedro D'Arcádia Neto;095;Técnico;Produção Industrial;Química;Química;Noite;64;40;1,60;
Marília;Assis;Cândido Mota;Marília/Presidente Prudente;Etec Professor Luiz Pires Barbosa;081;Técnico;Gestão e Negócios;Gestão;Administração;Noite;53;40;1,32;
Marília;Assis;Cândido Mota;Marília/Presidente Prudente;Etec Professor Luiz Pires Barbosa;081;Técnico;Produção Alimentícia;Química;Alimentos;Noite;61;40;1,52;
Marília;Assis;Palmital;Marília/Presidente Prudente;Etec Professor Mário Antônio Verza;164;Técnico;Gestão e Negócios;Gestão;Contabilidade;Noite;73;40;1,82;
Marília;Assis;Paraguaçu Paulista;Marília/Presidente Prudente;Etec Augusto Tortolero Araújo;039;Técnico;Produção Industrial;Química;Açúcar e Álcool;Noite;108;40;2,70;
Marília;Assis;Paraguaçu Paulista;Marília/Presidente Prudente;Etec Augusto Tortolero Araújo;039;Técnico;Gestão e Negócios;Gestão;Administração;Noite;81;40;2,02;
Marília;Assis;Paraguaçu Paulista;Marília/Presidente Prudente;Etec Augusto Tortolero Araújo;039;Técnico;Infraestrutura;Geomática;Agrimensura;Noite;71;40;1,77;
Marília;Marilia;Garça;Marília/Presidente Prudente;Etec Monsenhor Antônio Magliano;088;Técnico;Gestão e Negócios;Gestão;Administração;Noite;51;40;1,27;
Marília;Marilia;Garça;Marília/Presidente Prudente;Etec Monsenhor Antônio Magliano;088;Técnico;Controle e Processos Industriais;Indústria;Eletrônica;Noite;67;40;1,67;
Marília;Marilia;Garça;Marília/Presidente Prudente;Etec Monsenhor Antônio Magliano;088;Técnico;Ambiente e Saúde;Saúde;Enfermagem;Noite;101;40;2,52;
Marília;Marilia;Garça;Marília/Presidente Prudente;Etec Monsenhor Antônio Magliano;088;Técnico;Informação e Comunicação;Informática;Informática;Noite;66;40;1,65;
Marília;Marilia;Garça;Marília/Presidente Prudente;Etec Monsenhor Antônio Magliano;088;Técnico;Controle e Processos Industriais;Indústria;Mecânica;Noite;65;40;1,62;
Marília;Marilia;Garça;Marília/Presidente Prudente;Etec Monsenhor Antônio Magliano;088;Técnico;Segurança;Saúde;Segurança do Trabalho;Noite;65;40;1,62;
Marília;Marilia;Marília;Marília/Presidente Prudente;Etec Antonio Devisate;031;Técnico;Gestão e Negócios;Gestão;Administração;Noite;50;40;1,25;
Marília;Marilia;Marília;Marília/Presidente Prudente;Etec Antonio Devisate;031;Técnico;Gestão e Negócios;Gestão;Contabilidade;Noite;48;40;1,20;
Marília;Marilia;Marília;Marília/Presidente Prudente;Etec Antonio Devisate;031;Técnico;Ambiente e Saúde;Saúde;Enfermagem;Tarde;72;40;1,80;
Marília;Marilia;Marília;Marília/Presidente Prudente;Etec Antonio Devisate;031;Técnico;Segurança;Saúde;Segurança do Trabalho;Noite;56;40;1,40;
Marília;Marilia;Marília;Marília/Presidente Prudente;Etec Antonio Devisate (EE Monsenhor Bicudo);031.01 - Ext/Etec;Técnico;Gestão e Negócios;Gestão;Logística;Noite;62;40;1,55;
Marília;Ourinhos;Canitar;Marília/Presidente Prudente;Etec Professor Pedro Leme Brisolla Sobrinho (EMEF Luiz Gimenez - Canitar);097.2 - Cd_Cps;Técnico;Gestão e Negócios;Gestão;Contabilidade;Noite;49;30;1,63;
Marília;Ourinhos;Espírito Santo do Turvo;Bauru/Araçatuba;Etec Astor de Mattos Carvalho (EMEF Antonio Gonçalves das Neves - Espírito Santo do Turvo);038.5 - Cd_cps;Técnico;Gestão e Negócios;Gestão;Recursos Humanos;Noite;50;40;1,25;
Marília;Ourinhos;Ipaussu;Marília/Presidente Prudente;Etec Professor Pedro Leme Brisolla Sobrinho;097;Técnico;Gestão e Negócios;Gestão;Logística;Noite;48;40;1,20;
Marília;Ourinhos;Ourinhos;Marília/Presidente Prudente;Etec Jacinto Ferreira de Sá;066;Técnico;Informação e Comunicação;Informática;Desenvolvimento de Sistemas;Noite;70;40;1,75;
