Região Administrativa;Região de Governo;Município;Núcleo Regional;Unidades do CEETEPS;Código;Tipo de Ensino;Eixo Tecnológico/Educação Básica;Área Profissional;Curso/Habilitação;Período;Inscritos;Vagas;Demanda
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes;028;Técnico;Recursos Naturais;Agropecuária;Agronegócio;Noite;59;40;1,47;
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes (EE Alice Marques da Silva Rocha);028.01 - Ext/Etec;Técnico;Informação e Comunicação;Informática;Informática para Internet;Noite;41;40;1,02;
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes (EE Alice Marques da Silva Rocha);028.01 - Ext/Etec;Técnico;Gestão e Negócios;Gestão;Recursos Humanos;Noite;46;40;1,14;
Araçatuba;Andradina;Ilha Solteira;Bauru/Araçatuba;Etec de Ilha Solteira;065;Técnico;Controle e Processos Industriais;Indústria;Eletrotécnica;Noite;134;40;3,35;
Araçatuba;Andradina;Ilha Solteira;Bauru/Araçatuba;Etec de Ilha Solteira;065;Técnico;Ambiente e Saúde;Saúde;Enfermagem;Noite;108;40;2,70;
Araçatuba;Andradina;Ilha Solteira;Bauru/Araçatuba;Etec de Ilha Solteira (EE Urubupungá);065.02 - Ext/Etec;Técnico;Gestão e Negócios;Gestão;Serviços Jurídicos;Noite;55;40;1,37;
Araçatuba;Andradina;Itapura;Bauru/Araçatuba;Etec de Ilha Solteira (Núcleo de Serviços Municipais - Itapura);065.3 - Cd_Cps;Técnico;Gestão e Negócios;Gestão;Administração;Noite;76;40;1,90;
Araçatuba;Andradina;Mirandópolis;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes (EE Dona Noemia Dias Perotti);028.02 - Ext/Etec;Técnico;Gestão e Negócios;Gestão;Recursos Humanos;Noite;44;40;1,10;
Araçatuba;Andradina;Pereira Barreto;Bauru/Araçatuba;Etec de Ilha Solteira (EE Cel. Francisco Schmidt);065.01 - Ext/Etec;Técnico;Gestão e Negócios;Gestão;Recursos Humanos;Noite;66;40;1,65;
Araçatuba;Andradina;Sud Mennucci;Bauru/Araçatuba;Etec de Ilha Solteira (EMEF Victor Padilha - Sud Mennucci);065.2 - Cd_Cps;Técnico;Gestão e Negócios;Gestão;Administração;Noite;63;40;1,57;
Araçatuba;Araçatuba;Araçatuba;Bauru/Araçatuba;Etec de Araçatuba;165;Técnico;Ambiente e Saúde;Saúde;Farmácia;Noite;93;40;2,32;
Araçatuba;Araçatuba;Araçatuba;Bauru/Araçatuba;Etec de Araçatuba;165;Técnico;Segurança;Saúde;Segurança do Trabalho (MNP);Noite;64;40;1,60;
Araçatuba;Araçatuba;Araçatuba;Bauru/Araçatuba;Etec de Araçatuba (EE Manoel Bento da Cruz);165.01 - Ext/Etec;Técnico;Gestão e Negócios;Gestão;Administração (MNP);Noite;55;40;1,37;
Araçatuba;Araçatuba;Araçatuba;Bauru/Araçatuba;Etec de Araçatuba (EE Manoel Bento da Cruz);165.01 - Ext/Etec;Técnico;Informação e Comunicação;Informática;Desenvolvimento de Sistemas (MNP);Noite;67;40;1,67;
Araçatuba;Araçatuba;Barbosa;Bauru/Araçatuba;Etec João Jorge Geraissate (EMEF Gabriel José Martins - Barbosa);069.4 - Cd_Cps;Técnico;Gestão e Negócios;Gestão;Recursos Humanos;Noite;34;35;0,97;
Araçatuba;Araçatuba;Birigui;Bauru/Araçatuba;Etec Doutor Renato Cordeiro;123;Técnico;Ambiente e Saúde;Saúde;Enfermagem;Noite;211;40;5,27;
Araçatuba;Araçatuba;Birigui;Bauru/Araçatuba;Etec Doutor Renato Cordeiro;123;Técnico;Gestão e Negócios;Gestão;Recursos Humanos;Noite;87;40;2,17;
Araçatuba;Araçatuba;Valparaíso;Bauru/Araçatuba;Etec Doutor Renato Cordeiro (Valparaíso);123.1 - Cd_Cps;Técnico;Ambiente e Saúde;Saúde;Enfermagem;Noite;85;40;2,12;
Araçatuba;Araçatuba;Valparaíso;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes (EE Vicente Barbosa);028.03 - Ext/Etec;Técnico;Gestão e Negócios;Gestão;Administração;Noite;78;40;1,95;
Barretos;Barretos;Barretos;Ribeirão Preto/Franca/Barretos;Etec Coronel Raphael Brandão;108;Técnico;Produção Industrial;Química;Açúcar e Álcool;Noite;61;40;1,52;
Barretos;Barretos;Barretos;Ribeirão Preto/Franca/Barretos;Etec Coronel Raphael Brandão;108;Técnico;Controle e Processos Industriais;Indústria;Eletrotécnica;Noite;75;40;1,87;
Barretos;Barretos;Barretos;Ribeirão Preto/Franca/Barretos;Etec Coronel Raphael Brandão;108;Técnico;Segurança;Saúde;Segurança do Trabalho;Noite;58;40;1,45;
Barretos;Barretos;Barretos;Ribeirão Preto/Franca/Barretos;Etec Coronel Raphael Brandão;108;Especialização;Turismo, Hospitalidade e Lazer;Turismo e Hospitalidade;Panificação e Confeitaria;Noite;43;40;1,07;
Barretos;Barretos;Barretos;Ribeirão Preto/Franca/Barretos;Etec Coronel Raphael Brandão (EE Doutor Antonio Olympio);108.01 - Ext/Etec;Técnico;Gestão e Negócios;Gestão;Contabilidade;Noite;47;40;1,17;
Barretos;Barretos;Barretos;Ribeirão Preto/Franca/Barretos;Etec Coronel Raphael Brandão (EE Doutor Antonio Olympio);108.01 - Ext/Etec;Técnico;Gestão e Negócios;Gestão;Serviços Jurídicos;Noite;68;40;1,70;
