Região Administrativa;Região de Governo;Município;Núcleo Regional;Unidades do CEETEPS;Código;Tipo de Ensino;Eixo Tecnológico/Educação Básica;Área Profissional;Curso/Habilitação;Período;Inscritos;Vagas;Demanda
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes;028;Técnico;Recursos Naturais;Agropecuária;Agronegócio;Noite;68;40;1,70;
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes;028;Integrado;Recursos Naturais;Agropecuária;Agropecuária (Alternância) - MTec-PI ;Manhã e Tarde;50;40;1,25;
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes;028;Integrado;Recursos Naturais;Agropecuária;Agropecuária - MTec-PI;Manhã e Tarde;63;40;1,57;
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes (EE Alice Marques da Silva Rocha);028.01 - Ext/Etec;Técnico;Gestão e Negócios;Gestão;Administração;Noite;44;40;1,10;
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes (EE Alice Marques da Silva Rocha);028.01 - Ext/Etec;Técnico;Gestão e Negócios;Gestão;Serviços Jurídicos;Noite;40;40;1,00;
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes (EM Fundação Educacional de Andradina - Andradina);028.5 - Cd_Cps;Integrado;Gestão e Negócios;Gestão;Administração - MTec-N;Noite;52;40;1,30;
Araçatuba;Andradina;Ilha Solteira;Bauru/Araçatuba;Etec de Ilha Solteira;065;Médio;Educação Básica;Educação Básica - Ensino Médio;Ensino Médio com Itinerário Formativo de Ciências da Natureza e suas Tecnologias;Manhã;111;40;2,77;
Araçatuba;Andradina;Ilha Solteira;Bauru/Araçatuba;Etec de Ilha Solteira;065;Técnico;Informação e Comunicação;Informática;Desenvolvimento de Sistemas;Noite;68;40;1,70;
Araçatuba;Andradina;Ilha Solteira;Bauru/Araçatuba;Etec de Ilha Solteira;065;Técnico;Ambiente e Saúde;Saúde;Enfermagem;Noite;80;40;2,00;
Araçatuba;Andradina;Ilha Solteira;Bauru/Araçatuba;Etec de Ilha Solteira;065;Técnico;Controle e Processos Industriais;Indústria;Mecânica;Noite;113;40;2,82;
Araçatuba;Andradina;Ilha Solteira;Bauru/Araçatuba;Etec de Ilha Solteira;065;Técnico;Ambiente e Saúde;Meio Ambiente;Meio Ambiente;Noite;49;40;1,22;
Araçatuba;Andradina;Ilha Solteira;Bauru/Araçatuba;Etec de Ilha Solteira;065;Técnico;Segurança;Saúde;Segurança do Trabalho;Noite;99;40;2,47;
Araçatuba;Andradina;Ilha Solteira;Bauru/Araçatuba;Etec de Ilha Solteira;065;Integrado;Informação e Comunicação;Informática;Desenvolvimento de Sistemas - MTec-PI ;Manhã e Tarde;106;40;2,65;
Araçatuba;Andradina;Ilha Solteira;Bauru/Araçatuba;Etec de Ilha Solteira;065;Integrado;Controle e Processos Industriais;Indústria;Eletrotécnica - MTec;Manhã;149;40;3,72;
Araçatuba;Andradina;Ilha Solteira;Bauru/Araçatuba;Etec de Ilha Solteira (EE Urubupungá);065.02 - Ext/Etec;Técnico;Gestão e Negócios;Gestão;Administração;Noite;60;40;1,50;
Araçatuba;Andradina;Mirandópolis;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes (EE Dona Noemia Dias Perotti);028.02 - Ext/Etec;Técnico;Informação e Comunicação;Informática;Desenvolvimento de Sistemas;Noite;40;40;1,00;
Araçatuba;Andradina;Mirandópolis;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes (EE Dona Noemia Dias Perotti);028.02 - Ext/Etec;Técnico;Gestão e Negócios;Gestão;Logística;Noite;43;40;1,07;
Araçatuba;Araçatuba;Araçatuba;Bauru/Araçatuba;Etec de Araçatuba;165;Médio;Educação Básica;Educação Básica - Ensino Médio;Ensino Médio com Itinerário Formativo de Ciências da Natureza e suas Tecnologias;Manhã;252;40;6,30;
Araçatuba;Araçatuba;Araçatuba;Bauru/Araçatuba;Etec de Araçatuba;165;Médio;Educação Básica;Educação Básica - Ensino Médio;Ensino Médio com Itinerário Formativo de Matemática e suas Tecnologias;Manhã;137;40;3,42;
Araçatuba;Araçatuba;Araçatuba;Bauru/Araçatuba;Etec de Araçatuba;165;Técnico;Produção Industrial;Química;Química (MNP);Noite;60;40;1,50;
Araçatuba;Araçatuba;Araçatuba;Bauru/Araçatuba;Etec de Araçatuba;165;Integrado;Gestão e Negócios;Gestão;Administração - MTec-N;Noite;77;40;1,92;
Araçatuba;Araçatuba;Araçatuba;Bauru/Araçatuba;Etec de Araçatuba (EE Manoel Bento da Cruz);165.01 - Ext/Etec;Técnico;Gestão e Negócios;Gestão;Contabilidade;Noite;53;40;1,32;
Araçatuba;Araçatuba;Araçatuba;Bauru/Araçatuba;Etec de Araçatuba (EE Manoel Bento da Cruz);165.01 - Ext/Etec;Técnico;Informação e Comunicação;Informática;Manutenção e Suporte em Informática (MNP);Noite;57;40;1,42;
