Região Administrativa;Região de Governo;Município;Núcleo Regional;Unidades do CEETEPS;Código;Tipo de Ensino;Eixo Tecnológico/Educação Básica;Área Profissional;Curso/Habilitação;Período;Inscritos;Vagas;Demanda
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes;028;Técnico;Recursos Naturais;Agropecuária;Zootecnia;Noite;73;40;1,82;
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes;028;Integrado;Recursos Naturais;Agropecuária;Agropecuária (Alternância) - MTec-PI ;Manhã e Tarde;52;40;1,30;
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes;028;Integrado;Recursos Naturais;Agropecuária;Agropecuária - MTec-PI;Manhã e Tarde;78;40;1,95;
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes (EE Doutor Alvaro Guião);028.05 - Ext/Etec;Técnico;Informação e Comunicação;Informática;Informática para Internet;Noite;53;40;1,32;
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes (EE Doutor Alvaro Guião);028.05 - Ext/Etec;Técnico;Gestão e Negócios;Gestão;Recursos Humanos;Noite;44;40;1,10;
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes (EM Fundação Educacional de Andradina - Andradina);028.5 - Cd_Cps;Integrado;Gestão e Negócios;Gestão;Administração - MTec-N;Noite;64;40;1,60;
Araçatuba;Andradina;Castilho;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes (EMEF Dr Youssef Neif Kassab - Castilho);028.2 - Cd_Cps;Integrado;Informação e Comunicação;Informática;Desenvolvimento de Sistemas - Mtec-N;Noite;70;40;1,75;
Araçatuba;Andradina;Castilho;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes (EMEIEF Professora Maria Dauria Silva Oliveira - Castilho);028.7 - Cd_Cps;Integrado;Recursos Naturais;Agropecuária;Agronegócio - MTec-PI;Manhã e Tarde;52;40;1,30;
Araçatuba;Andradina;Ilha Solteira;Bauru/Araçatuba;Etec de Ilha Solteira;065;Médio;Educação Básica;Educação Básica - Ensino Médio;Ensino Médio com Itinerário Formativo de Ciências da Natureza e suas Tecnologias;Manhã;89;40;2,22;
Araçatuba;Andradina;Ilha Solteira;Bauru/Araçatuba;Etec de Ilha Solteira;065;Técnico;Controle e Processos Industriais;Indústria;Eletrotécnica;Noite;119;40;2,97;
Araçatuba;Andradina;Ilha Solteira;Bauru/Araçatuba;Etec de Ilha Solteira;065;Técnico;Ambiente e Saúde;Saúde;Enfermagem;Noite;71;40;1,77;
Araçatuba;Andradina;Ilha Solteira;Bauru/Araçatuba;Etec de Ilha Solteira;065;Integrado;Gestão e Negócios;Gestão;Administração - MTec;Manhã;142;40;3,55;
