Região Administrativa;Região de Governo;Município;Núcleo Regional;Unidades do CEETEPS;Código;Tipo de Ensino;Eixo Tecnológico/Educação Básica;Área Profissional;Curso/Habilitação;Período;Inscritos;Vagas;Demanda
Araçatuba;Andradina;Ilha Solteira;Bauru/Araçatuba;Etec de Ilha Solteira;065;Integrado;Informação e Comunicação;Informática;Desenvolvimento de Sistemas - MTec-PI ;Manhã e Tarde;155;40;3,87;
Araçatuba;Andradina;Ilha Solteira;Bauru/Araçatuba;Etec de Ilha Solteira (EE Urubupungá);065.02 - Ext/Etec;Técnico;Gestão e Negócios;Gestão;Serviços Jurídicos;Noite;55;40;1,37;
Araçatuba;Andradina;Itapura;Bauru/Araçatuba;Etec de Ilha Solteira (Núcleo de Serviços Municipais - Itapura);065.3 - Cd_Cps;Técnico;Gestão e Negócios;Gestão;Contabilidade;Noite;43;40;1,07;
Araçatuba;Andradina;Mirandópolis;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes (EMEF Professor Hélio Faria - Mirandópolis);028.8 - Cd_Cps;Técnico;Ambiente e Saúde;Saúde;Enfermagem;Noite;75;40;1,87;
Araçatuba;Andradina;Mirandópolis;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes (EMEF Professor Hélio Faria - Mirandópolis);028.8 - Cd_Cps;Integrado;Gestão e Negócios;Gestão;Administração - MTec-N;Noite;60;40;1,50;
Araçatuba;Andradina;Pereira Barreto;Bauru/Araçatuba;Etec de Ilha Solteira (EE Cel. Francisco Schmidt);065.01 - Ext/Etec;Técnico;Gestão e Negócios;Gestão;Recursos Humanos;Noite;67;40;1,67;
Araçatuba;Araçatuba;Araçatuba;Bauru/Araçatuba;Etec de Araçatuba;165;Médio;Educação Básica;Educação Básica - Ensino Médio;Ensino Médio com Itinerário Formativo de Ciências Humanas e Sociais Aplicadas;Manhã;209;40;5,22;
Araçatuba;Araçatuba;Araçatuba;Bauru/Araçatuba;Etec de Araçatuba;165;Médio;Educação Básica;Educação Básica - Ensino Médio;Ensino Médio com Itinerário Formativo de Matemática e suas Tecnologias;Manhã;206;40;5,15;
Araçatuba;Araçatuba;Araçatuba;Bauru/Araçatuba;Etec de Araçatuba;165;Técnico;Produção Industrial;Química;Química;Noite;62;40;1,55;
Araçatuba;Araçatuba;Araçatuba;Bauru/Araçatuba;Etec de Araçatuba;165;Integrado;Gestão e Negócios;Gestão;Administração - MTec-N;Noite;85;40;2,12;
Araçatuba;Araçatuba;Araçatuba;Bauru/Araçatuba;Etec de Araçatuba;165;Integrado;Produção Industrial;Química;Química - MTec;Tarde;63;40;1,57;
Araçatuba;Araçatuba;Araçatuba;Bauru/Araçatuba;Etec de Araçatuba (EE Manoel Bento da Cruz);165.01 - Ext/Etec;Técnico;Gestão e Negócios;Gestão;Administração;Noite;63;40;1,57;
Araçatuba;Araçatuba;Araçatuba;Bauru/Araçatuba;Etec de Araçatuba (EE Manoel Bento da Cruz);165.01 - Ext/Etec;Técnico;Informação e Comunicação;Informática;Desenvolvimento de Sistemas;Noite;62;40;1,55;
Araçatuba;Araçatuba;Araçatuba;Bauru/Araçatuba;Etec de Araçatuba / Faculdade de Tecnologia Professor Fernando Amaral de Almeida Prado;165/177 - Etec/Fatec;Integrado;Informação e Comunicação;Informática;Desenvolvimento de Sistemas - MTec-AMS;Tarde;122;40;3,05;
Araçatuba;Araçatuba;Barbosa;Bauru/Araçatuba;Etec João Jorge Geraissate (EMEF Gabriel José Martins - Barbosa);069.4 - Cd_Cps;Técnico;Gestão e Negócios;Comércio;Marketing;Noite;41;35;1,17;
Araçatuba;Araçatuba;Birigui;Bauru/Araçatuba;Etec Doutor Renato Cordeiro;123;Médio;Educação Básica;Educação Básica - Ensino Médio;Ensino Médio com Itinerário Formativo de Ciências Humanas e Sociais Aplicadas;Manhã;131;40;3,27;
Araçatuba;Araçatuba;Birigui;Bauru/Araçatuba;Etec Doutor Renato Cordeiro;123;Médio;Educação Básica;Educação Básica - Ensino Médio;Ensino Médio com Itinerário Formativo de Linguagens e suas Tecnologias;Tarde;77;40;1,92;
Araçatuba;Araçatuba;Birigui;Bauru/Araçatuba;Etec Doutor Renato Cordeiro;123;Técnico;Ambiente e Saúde;Saúde;Enfermagem;Noite;149;40;3,72;
Araçatuba;Araçatuba;Birigui;Bauru/Araçatuba;Etec Doutor Renato Cordeiro;123;Técnico;Gestão e Negócios;Gestão;Recursos Humanos;Noite;65;40;1,62;
Araçatuba;Araçatuba;Birigui;Bauru/Araçatuba;Etec Doutor Renato Cordeiro;123;Integrado;Gestão e Negócios;Gestão;Administração - MTec;Manhã;309;40;7,72;
Araçatuba;Araçatuba;Birigui;Bauru/Araçatuba;Etec Doutor Renato Cordeiro;123;Integrado;Gestão e Negócios;Gestão;Comércio Exterior - MTec;Tarde;68;40;1,70;
Araçatuba;Araçatuba;Birigui;Bauru/Araçatuba;Etec Doutor Renato Cordeiro;123;Integrado;Informação e Comunicação;Informática;Informática para Internet - MTec (MNP);Tarde;76;40;1,90;
Araçatuba;Araçatuba;Birigui;Bauru/Araçatuba;Etec Doutor Renato Cordeiro;123;Integrado;Ambiente e Saúde;Meio Ambiente;Meio Ambiente - MTec (MNP);Manhã;110;40;2,75;
Araçatuba;Araçatuba;Guararapes;Bauru/Araçatuba;Etec de Araçatuba (EM Prof. Celso Geraldo Queiroz - Guararapes);165.3 - Cd_Cps;Técnico;Segurança;Saúde;Segurança do Trabalho;Noite;69;40;1,72;
Araçatuba;Araçatuba;Guararapes;Bauru/Araçatuba;Etec de Araçatuba (EM Prof. Celso Geraldo Queiroz - Guararapes);165.3 - Cd_Cps;Integrado;Informação e Comunicação;Informática;Desenvolvimento de Sistemas - MTec;Manhã;85;40;2,12;
Araçatuba;Araçatuba;Penápolis;Bauru/Araçatuba;Etec João Jorge Geraissate;069;Integrado;Recursos Naturais;Agropecuária;Agropecuária - MTec-PI;Manhã e Tarde;98;70;1,40;
Araçatuba;Araçatuba;Penápolis;Bauru/Araçatuba;Etec João Jorge Geraissate (EE Adelino Peters);069.01 - Ext/Etec;Técnico;Recursos Naturais;Agropecuária;Agronegócio;Noite;37;35;1,05;
Araçatuba;Araçatuba;Valparaíso;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes (EE Vicente Barbosa);028.03 - Ext/Etec;Técnico;Gestão e Negócios;Gestão;Logística;Noite;67;40;1,67;
Barretos;Barretos;Barretos;Ribeirão Preto/Franca/Barretos;Etec Coronel Raphael Brandão;108;Técnico;Segurança;Indústria;Defesa Civil;Noite;31;40;0,77;
Barretos;Barretos;Barretos;Ribeirão Preto/Franca/Barretos;Etec Coronel Raphael Brandão;108;Técnico;Controle e Processos Industriais;Indústria;Mecânica;Noite;59;40;1,47;
Barretos;Barretos;Barretos;Ribeirão Preto/Franca/Barretos;Etec Coronel Raphael Brandão;108;Integrado;Gestão e Negócios;Gestão;Administração - MTec-N;Noite;42;40;1,05;
Barretos;Barretos;Barretos;Ribeirão Preto/Franca/Barretos;Etec Coronel Raphael Brandão;108;Integrado;Gestão e Negócios;Gestão;Administração - MTec-PI;Manhã e Tarde;202;40;5,05;
Barretos;Barretos;Barretos;Ribeirão Preto/Franca/Barretos;Etec Coronel Raphael Brandão;108;Integrado;Informação e Comunicação;Informática;Desenvolvimento de Sistemas - Mtec-N;Noite;62;40;1,55;
Barretos;Barretos;Barretos;Ribeirão Preto/Franca/Barretos;Etec Coronel Raphael Brandão;108;Integrado;Informação e Comunicação;Informática;Desenvolvimento de Sistemas - MTec-PI ;Manhã e Tarde;200;40;5,00;
Barretos;Barretos;Barretos;Ribeirão Preto/Franca/Barretos;Etec Coronel Raphael Brandão;108;Integrado;Ambiente e Saúde;Meio Ambiente;Meio Ambiente - MTec-PI;Manhã e Tarde;91;40;2,27;
Barretos;Barretos;Barretos;Ribeirão Preto/Franca/Barretos;Etec Coronel Raphael Brandão;108;Integrado;Ambiente e Saúde;Saúde;Nutrição e Dietética - Mtec-N;Noite;53;40;1,32;
Barretos;Barretos;Barretos;Ribeirão Preto/Franca/Barretos;Etec Coronel Raphael Brandão;108;Integrado;Ambiente e Saúde;Saúde;Nutrição e Dietética - MTec-PI;Manhã e Tarde;198;40;4,95;
Barretos;Barretos;Barretos;Ribeirão Preto/Franca/Barretos;Etec Coronel Raphael Brandão;108;Integrado;Produção Industrial;Química;Química - MTec-PI;Manhã e Tarde;78;40;1,95;
Barretos;Barretos;Barretos;Ribeirão Preto/Franca/Barretos;Etec Coronel Raphael Brandão (EE Doutor Antonio Olympio);108.01 - Ext/Etec;Técnico;Gestão e Negócios;Gestão;Serviços Públicos;Noite;71;40;1,77;
Barretos;Barretos;Bebedouro;Ribeirão Preto/Franca/Barretos;Etec Professor Ídio Zucchi;151;Técnico;Controle e Processos Industriais;Indústria;Mecânica;Noite;63;40;1,57;
Barretos;Barretos;Bebedouro;Ribeirão Preto/Franca/Barretos;Etec Professor Ídio Zucchi;151;Técnico;Gestão e Negócios;Gestão;Recursos Humanos;Noite;51;40;1,27;
Barretos;Barretos;Bebedouro;Ribeirão Preto/Franca/Barretos;Etec Professor Ídio Zucchi;151;Integrado;Gestão e Negócios;Gestão;Administração - MTec-PI;Manhã e Tarde;169;40;4,22;
Barretos;Barretos;Bebedouro;Ribeirão Preto/Franca/Barretos;Etec Professor Ídio Zucchi;151;Integrado;Informação e Comunicação;Informática;Informática - MTec-PI;Manhã e Tarde;148;40;3,70;
Barretos;Barretos;Bebedouro;Ribeirão Preto/Franca/Barretos;Etec Professor Ídio Zucchi;151;Integrado;Informação e Comunicação;Informática;Informática para Internet - MTec-N;Noite;53;40;1,32;
Barretos;Barretos;Bebedouro;Ribeirão Preto/Franca/Barretos;Etec Professor Ídio Zucchi;151;Integrado;Gestão e Negócios;Comércio;Marketing - MTec;Manhã;181;40;4,52;
Barretos;Barretos;Bebedouro;Ribeirão Preto/Franca/Barretos;Etec Professor Ídio Zucchi;151;Integrado;Gestão e Negócios;Gestão;Recursos Humanos - MTec;Manhã;162;40;4,05;
Barretos;Barretos;Bebedouro;Ribeirão Preto/Franca/Barretos;Etec Professor Ídio Zucchi;151;Integrado;Gestão e Negócios;Gestão;Serviços Jurídicos - MTec-N;Noite;59;40;1,47;
Barretos;Barretos;Bebedouro;Ribeirão Preto/Franca/Barretos;Etec Professor Ídio Zucchi (Fundação Coopercitrus/Credicitrus - Bebedouro);151.8 - Cd_Cps;Técnico;Recursos Naturais;Agropecuária;Agricultura;Noite;76;40;1,90;
Barretos;Barretos;Guaíra;Ribeirão Preto/Franca/Barretos;Etec de Guaíra;304;Técnico;Recursos Naturais;Agropecuária;Agronegócio;Noite;55;40;1,37;
Barretos;Barretos;Guaíra;Ribeirão Preto/Franca/Barretos;Etec de Guaíra;304;Integrado;Gestão e Negócios;Gestão;Administração - MTec-PI;Manhã e Tarde;75;40;1,87;
Barretos;Barretos;Guaíra;Ribeirão Preto/Franca/Barretos;Etec de Guaíra;304;Integrado;Informação e Comunicação;Informática;Desenvolvimento de Sistemas - MTec-PI ;Manhã e Tarde;76;40;1,90;
Barretos;Barretos;Guaíra;Ribeirão Preto/Franca/Barretos;Etec de Guaíra;304;Integrado;Segurança;Saúde;Segurança do Trabalho - MTec-N;Noite;41;40;1,02;
Barretos;Barretos;Olímpia;Ribeirão Preto/Franca/Barretos;Etec Professor José Carlos Seno Junior;232;Integrado;Gestão e Negócios;Gestão;Administração - MTec-N;Noite;89;40;2,22;
Barretos;Barretos;Olímpia;Ribeirão Preto/Franca/Barretos;Etec Professor José Carlos Seno Junior;232;Integrado;Gestão e Negócios;Gestão;Administração - MTec-PI;Manhã e Tarde;196;40;4,90;
Barretos;Barretos;Olímpia;Ribeirão Preto/Franca/Barretos;Etec Professor José Carlos Seno Junior;232;Integrado;Informação e Comunicação;Informática;Desenvolvimento de Sistemas - Mtec-N;Noite;71;40;1,77;
Barretos;Barretos;Olímpia;Ribeirão Preto/Franca/Barretos;Etec Professor José Carlos Seno Junior;232;Integrado;Informação e Comunicação;Informática;Desenvolvimento de Sistemas - MTec-PI ;Manhã e Tarde;156;40;3,90;
Barretos;Barretos;Olímpia;Ribeirão Preto/Franca/Barretos;Etec Professor José Carlos Seno Junior;232;Integrado;Produção Industrial;Química;Química - Mtec-N;Noite;64;40;1,60;
Barretos;Barretos;Olímpia;Ribeirão Preto/Franca/Barretos;Etec Professor José Carlos Seno Junior;232;Integrado;Produção Industrial;Química;Química - MTec-PI;Manhã e Tarde;156;40;3,90;
Bauru;Bauru;Agudos;Bauru/Araçatuba;Etec Rodrigues de Abreu (Centro Municipal de Formação Profissional de Agudos);135.1 - Cd_Cps;Técnico;Gestão e Negócios;Gestão;Administração;Noite;46;40;1,14;
Bauru;Bauru;Bauru;Bauru/Araçatuba;Etec Astor de Mattos Carvalho (EE Prof. Christino Cabral);038.01 - Ext/Etec;Técnico;Gestão e Negócios;Gestão;Administração;Noite;125;40;3,12;
Bauru;Bauru;Bauru;Bauru/Araçatuba;Etec Astor de Mattos Carvalho (EE Prof. Christino Cabral);038.01 - Ext/Etec;Técnico;Gestão e Negócios;Gestão;Contabilidade;Noite;84;40;2,10;
Bauru;Bauru;Bauru;Bauru/Araçatuba;Etec Rodrigues de Abreu;135;Médio;Educação Básica;Educação Básica - Ensino Médio;Ensino Médio com Itinerário Formativo de Ciências Humanas e Sociais Aplicadas;Manhã;212;35;6,05;
Bauru;Bauru;Bauru;Bauru/Araçatuba;Etec Rodrigues de Abreu;135;Técnico;Gestão e Negócios;Gestão;Administração;Noite;75;40;1,87;
Bauru;Bauru;Bauru;Bauru/Araçatuba;Etec Rodrigues de Abreu;135;Técnico;Informação e Comunicação;Informática;Desenvolvimento de Sistemas;Noite;83;40;2,07;
Bauru;Bauru;Bauru;Bauru/Araçatuba;Etec Rodrigues de Abreu;135;Técnico;Ambiente e Saúde;Saúde;Enfermagem;Manhã;123;40;3,07;
Bauru;Bauru;Bauru;Bauru/Araçatuba;Etec Rodrigues de Abreu;135;Técnico;Segurança;Saúde;Segurança do Trabalho (MNP);Noite;83;40;2,07;
Bauru;Bauru;Bauru;Bauru/Araçatuba;Etec Rodrigues de Abreu;135;Integrado;Gestão e Negócios;Gestão;Administração - MTec-N;Noite;103;40;2,57;
Bauru;Bauru;Bauru;Bauru/Araçatuba;Etec Rodrigues de Abreu;135;Integrado;Gestão e Negócios;Gestão;Administração - MTec-PI;Manhã e Tarde;281;40;7,02;
Bauru;Bauru;Bauru;Bauru/Araçatuba;Etec Rodrigues de Abreu;135;Integrado;Informação e Comunicação;Informática;Desenvolvimento de Sistemas - MTec-PI ;Manhã e Tarde;387;40;9,67;
Bauru;Bauru;Bauru;Bauru/Araçatuba;Etec Rodrigues de Abreu;135;Integrado;Informação e Comunicação;Informática;Informática para Internet - MTec;Tarde;198;40;4,95;
Bauru;Bauru;Bauru;Bauru/Araçatuba;Etec Rodrigues de Abreu;135;Integrado;Gestão e Negócios;Gestão;Serviços Jurídicos - MTec;Tarde;210;40;5,25;
Bauru;Bauru;Bauru;Bauru/Araçatuba;Etec Rodrigues de Abreu (EE Ernesto Monte);135.01 - Ext/Etec;Técnico;Gestão e Negócios;Gestão;Transações Imobiliárias;Noite;45;40;1,12;
Bauru;Bauru;Bauru;Bauru/Araçatuba;Etec Rodrigues de Abreu (Faculdade de Odontologia de Bauru da USP - Bauru);135.3 - Cd_Cps;Técnico;Ambiente e Saúde;Saúde;Saúde Bucal;Noite;59;40;1,47;
Bauru;Bauru;Bauru;Bauru/Araçatuba;Etec Rodrigues de Abreu / Fatec de Bauru;135/196 - Etec/Fatec;Integrado;Informação e Comunicação;Informática;Desenvolvimento de Sistemas - MTec-AMS;Tarde;136;40;3,40;
Bauru;Bauru;Bauru;Bauru/Araçatuba;Etec Rodrigues de Abreu / Fatec de Bauru;135/196 - Etec/Fatec;Integrado;Controle e Processos Industriais;Indústria;Mecatrônica - MTec-AMS;Manhã;223;40;5,57;
Bauru;Bauru;Cabrália Paulista;Bauru/Araçatuba;Etec Astor de Mattos Carvalho;038;Técnico;Informação e Comunicação;Informática;Informática;Noite;61;35;1,74;
Bauru;Bauru;Cabrália Paulista;Bauru/Araçatuba;Etec Astor de Mattos Carvalho;038;Integrado;Recursos Naturais;Agropecuária;Agropecuária - MTec-PI;Manhã e Tarde;116;35;3,31;
Bauru;Bauru;Cabrália Paulista;Bauru/Araçatuba;Etec Astor de Mattos Carvalho;038;Integrado;Informação e Comunicação;Informática;Informática para Internet - MTec-PI;Manhã e Tarde;67;35;1,91;
Bauru;Bauru;Cabrália Paulista;Bauru/Araçatuba;Etec Astor de Mattos Carvalho;038;Integrado;Produção Industrial;Química;Química - MTec-PI;Manhã e Tarde;46;35;1,31;
Bauru;Bauru;Lençóis Paulista;Bauru/Araçatuba;Etec Cidade do Livro;244;Técnico;Gestão e Negócios;Gestão;Logística;Noite;66;40;1,65;
Bauru;Bauru;Lençóis Paulista;Bauru/Araçatuba;Etec Cidade do Livro;244;Técnico;Produção Industrial;Química;Química;Noite;107;40;2,67;
Bauru;Bauru;Lençóis Paulista;Bauru/Araçatuba;Etec Cidade do Livro;244;Integrado;Gestão e Negócios;Gestão;Administração - MTec-PI;Manhã e Tarde;169;40;4,22;
Bauru;Bauru;Lençóis Paulista;Bauru/Araçatuba;Etec Cidade do Livro;244;Integrado;Informação e Comunicação;Informática;Desenvolvimento de Sistemas - MTec-PI ;Manhã e Tarde;163;40;4,07;
Bauru;Bauru;Lençóis Paulista;Bauru/Araçatuba;Etec Cidade do Livro;244;Integrado;Infraestrutura;Construção Civil;Edificações - Mtec-N;Noite;83;40;2,07;
Bauru;Bauru;Lençóis Paulista;Bauru/Araçatuba;Etec Cidade do Livro;244;Integrado;Gestão e Negócios;Comércio;Marketing - MTec;Manhã;116;40;2,90;
Bauru;Bauru;Lençóis Paulista;Bauru/Araçatuba;Etec Cidade do Livro (EE Virgilio Capoani);244.01 - Ext/Etec;Técnico;Gestão e Negócios;Gestão;Administração;Noite;66;35;1,88;
Bauru;Bauru;Pederneiras;Bauru/Araçatuba;Etec Professor Urias Ferreira (EE Anchieta);090.01 - Ext/Etec;Técnico;Gestão e Negócios;Gestão;Administração;Noite;41;40;1,02;
Bauru;Jaú;Barra Bonita;Bauru/Araçatuba;Etec Comendador João Rays;040;Médio;Educação Básica;Educação Básica - Ensino Médio;Ensino Médio com Itinerário Formativo de Linguagens e suas Tecnologias;Manhã;169;35;4,82;
Bauru;Jaú;Barra Bonita;Bauru/Araçatuba;Etec Comendador João Rays;040;Técnico;Gestão e Negócios;Gestão;Administração;Noite;52;40;1,30;
Bauru;Jaú;Barra Bonita;Bauru/Araçatuba;Etec Comendador João Rays;040;Técnico;Informação e Comunicação;Informática;Informática para Internet;Noite;66;40;1,65;
Bauru;Jaú;Barra Bonita;Bauru/Araçatuba;Etec Comendador João Rays;040;Integrado;Gestão e Negócios;Gestão;Administração - MTec-N;Noite;73;35;2,08;
Bauru;Jaú;Barra Bonita;Bauru/Araçatuba;Etec Comendador João Rays;040;Integrado;Informação e Comunicação;Informática;Informática para Internet - MTec-PI;Manhã e Tarde;126;35;3,60;
Bauru;Jaú;Itapuí;Bauru/Araçatuba;Etec Joaquim Ferreira do Amaral (EMEF Manuel Rodrigues Ferreira - Itapuí);070.4 - Cd_Cps;Técnico;Gestão e Negócios;Gestão;Administração;Noite;76;40;1,90;
Bauru;Jaú;Jaú;Bauru/Araçatuba;Etec Joaquim Ferreira do Amaral;070;Técnico;Gestão e Negócios;Gestão;Administração;Noite;55;40;1,37;
Bauru;Jaú;Jaú;Bauru/Araçatuba;Etec Joaquim Ferreira do Amaral;070;Técnico;Informação e Comunicação;Informática;Desenvolvimento de Sistemas;Noite;83;40;2,07;
Bauru;Jaú;Jaú;Bauru/Araçatuba;Etec Joaquim Ferreira do Amaral;070;Técnico;Controle e Processos Industriais;Indústria;Eletrotécnica;Noite;49;40;1,22;
Bauru;Jaú;Jaú;Bauru/Araçatuba;Etec Joaquim Ferreira do Amaral;070;Técnico;Ambiente e Saúde;Saúde;Enfermagem;Noite;96;40;2,40;
Bauru;Jaú;Jaú;Bauru/Araçatuba;Etec Joaquim Ferreira do Amaral;070;Técnico;Controle e Processos Industriais;Indústria;Mecânica;Noite;53;40;1,32;
Bauru;Jaú;Jaú;Bauru/Araçatuba;Etec Joaquim Ferreira do Amaral;070;Técnico;Segurança;Saúde;Segurança do Trabalho;Noite;42;40;1,05;
Bauru;Jaú;Jaú;Bauru/Araçatuba;Etec Joaquim Ferreira do Amaral;070;Integrado;Gestão e Negócios;Gestão;Administração - MTec-PI;Manhã e Tarde;217;40;5,42;
Bauru;Jaú;Jaú;Bauru/Araçatuba;Etec Joaquim Ferreira do Amaral;070;Integrado;Infraestrutura;Construção Civil;Edificações - Mtec-N;Noite;32;40;0,80;
Bauru;Jaú;Jaú;Bauru/Araçatuba;Etec Joaquim Ferreira do Amaral;070;Integrado;Infraestrutura;Construção Civil;Edificações - MTec-PI;Manhã e Tarde;124;40;3,10;
Bauru;Jaú;Jaú;Bauru/Araçatuba;Etec Joaquim Ferreira do Amaral;070;Integrado;Informação e Comunicação;Informática;Informática - MTec-PI;Manhã e Tarde;218;40;5,45;
Bauru;Jaú;Jaú;Bauru/Araçatuba;Etec Joaquim Ferreira do Amaral;070;Integrado;Gestão e Negócios;Comércio;Marketing - MTec;Tarde;49;40;1,22;
Bauru;Jaú;Jaú;Bauru/Araçatuba;Etec Joaquim Ferreira do Amaral;070;Integrado;Controle e Processos Industriais;Indústria;Mecatrônica - MTec-AMS;Manhã;109;40;2,72;
Bauru;Jaú;Jaú;Bauru/Araçatuba;Etec Joaquim Ferreira do Amaral;070;Integrado;Gestão e Negócios;Gestão;Recursos Humanos - MTec-N;Noite;37;40;0,92;
Bauru;Jaú;Jaú;Bauru/Araçatuba;Etec Professor Urias Ferreira;090;Integrado;Recursos Naturais;Agropecuária;Agropecuária - MTec-PI;Manhã e Tarde;127;70;1,81;
Bauru;Lins;Cafelândia;Bauru/Araçatuba;Etec Professora Helcy Moreira Martins Aguiar;062;Médio;Educação Básica;Educação Básica - Ensino Médio;Ensino Médio com Itinerário Formativo de Ciências Humanas e Sociais Aplicadas;Manhã;77;40;1,92;
Bauru;Lins;Cafelândia;Bauru/Araçatuba;Etec Professora Helcy Moreira Martins Aguiar;062;Técnico;Ambiente e Saúde;Meio Ambiente;Meio Ambiente;Noite;29;40;0,72;
Bauru;Lins;Cafelândia;Bauru/Araçatuba;Etec Professora Helcy Moreira Martins Aguiar;062;Técnico;Gestão e Negócios;Gestão;Recursos Humanos;Noite;55;40;1,37;
Bauru;Lins;Cafelândia;Bauru/Araçatuba;Etec Professora Helcy Moreira Martins Aguiar;062;Integrado;Gestão e Negócios;Gestão;Administração - MTec-N;Noite;56;40;1,40;
Bauru;Lins;Cafelândia;Bauru/Araçatuba;Etec Professora Helcy Moreira Martins Aguiar;062;Integrado;Recursos Naturais;Agropecuária;Agropecuária - MTec-PI;Manhã e Tarde;80;40;2,00;
Bauru;Lins;Cafelândia;Bauru/Araçatuba;Etec Professora Helcy Moreira Martins Aguiar;062;Integrado;Informação e Comunicação;Informática;Desenvolvimento de Sistemas - MTec (MNP);Manhã;92;40;2,29;
Bauru;Lins;Cafelândia;Bauru/Araçatuba;Etec Professora Helcy Moreira Martins Aguiar;062;Especialização;Gestão e Negócios;Gestão;Cálculos Trabalhistas;Noite;32;30;1,06;
Bauru;Lins;Guaiçara;Bauru/Araçatuba;Etec de Lins (EM Henrique Unger - Guaiçara);148.1 - Cd_Cps;Técnico;Segurança;Saúde;Segurança do Trabalho;Noite;71;40;1,77;
Bauru;Lins;Lins;Bauru/Araçatuba;Etec de Lins;148;Médio;Educação Básica;Educação Básica - Ensino Médio;Ensino Médio com Itinerário Formativo de Linguagens e suas Tecnologias;Manhã;134;40;3,35;
Bauru;Lins;Lins;Bauru/Araçatuba;Etec de Lins;148;Técnico;Gestão e Negócios;Gestão;Administração;Noite;73;40;1,82;
Bauru;Lins;Lins;Bauru/Araçatuba;Etec de Lins;148;Técnico;Informação e Comunicação;Informática;Ciência de Dados;Noite;43;40;1,07;
Bauru;Lins;Lins;Bauru/Araçatuba;Etec de Lins;148;Técnico;Infraestrutura;Construção Civil;Edificações;Noite;43;40;1,07;
Bauru;Lins;Lins;Bauru/Araçatuba;Etec de Lins;148;Técnico;Ambiente e Saúde;Saúde;Enfermagem;Manhã;90;40;2,25;
Bauru;Lins;Lins;Bauru/Araçatuba;Etec de Lins;148;Integrado;Gestão e Negócios;Gestão;Contabilidade - MTec;Tarde;71;40;1,77;
Bauru;Lins;Lins;Bauru/Araçatuba;Etec de Lins;148;Integrado;Informação e Comunicação;Informática;Desenvolvimento de Sistemas - MTec (MNP);Manhã;207;40;5,17;
