Região Administrativa;Região de Governo;Município;Núcleo Regional;Unidades do CEETEPS;Código;Tipo de Ensino;Eixo Tecnológico/Educação Básica;Área Profissional;Curso/Habilitação;Período;Inscritos;Vagas;Demanda
Araçatuba;Araçatuba;Birigui;Bauru/Araçatuba;Etec Doutor Renato Cordeiro;123;Integrado;Gestão e Negócios;Gestão;Administração - MTec;Manhã;204;40;5,09;
Araçatuba;Araçatuba;Birigui;Bauru/Araçatuba;Etec Doutor Renato Cordeiro;123;Integrado;Gestão e Negócios;Gestão;Contabilidade - MTec;Tarde;84;40;2,10;
Araçatuba;Araçatuba;Birigui;Bauru/Araçatuba;Etec Doutor Renato Cordeiro;123;Integrado;Informação e Comunicação;Informática;Desenvolvimento de Sistemas - MTec;Tarde;102;40;2,54;
Araçatuba;Araçatuba;Birigui;Bauru/Araçatuba;Etec Doutor Renato Cordeiro;123;Integrado;Gestão e Negócios;Comércio;Marketing - MTec;Manhã;147;40;3,67;
Araçatuba;Araçatuba;Guararapes;Bauru/Araçatuba;Etec de Araçatuba (EM Prof. Celso Geraldo Queiroz - Guararapes);165.3 - Cd_Cps;Técnico;Gestão e Negócios;Gestão;Administração (MNP);Noite;51;40;1,27;
Araçatuba;Araçatuba;Penápolis;Bauru/Araçatuba;Etec João Jorge Geraissate;069;Integrado;Recursos Naturais;Agropecuária;Agropecuária - MTec-PI;Manhã e Tarde;86;70;1,22;
Araçatuba;Araçatuba;Penápolis;Bauru/Araçatuba;Etec João Jorge Geraissate (EE Adelino Peters);069.01 - Ext/Etec;Técnico;Gestão e Negócios;Gestão;Recursos Humanos;Noite;53;40;1,32;
Araçatuba;Araçatuba;Valparaíso;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes (EE Vicente Barbosa);028.03 - Ext/Etec;Técnico;Recursos Naturais;Agropecuária;Agronegócio;Noite;61;40;1,52;
Barretos;Barretos;Barretos;Ribeirão Preto/Franca/Barretos;Etec Coronel Raphael Brandão;108;;;;;Tarde;32;30;1,06;
Barretos;Barretos;Barretos;Ribeirão Preto/Franca/Barretos;Etec Coronel Raphael Brandão;108;Técnico;Ambiente e Saúde;Saúde;Enfermagem;Tarde;71;40;1,77;
Barretos;Barretos;Barretos;Ribeirão Preto/Franca/Barretos;Etec Coronel Raphael Brandão;108;Técnico;Controle e Processos Industriais;Indústria;Mecânica;Noite;81;40;2,02;
Barretos;Barretos;Barretos;Ribeirão Preto/Franca/Barretos;Etec Coronel Raphael Brandão;108;Técnico;Produção Industrial;Química;Química;Noite;60;40;1,50;
Barretos;Barretos;Barretos;Ribeirão Preto/Franca/Barretos;Etec Coronel Raphael Brandão;108;Técnico;Segurança;Saúde;Segurança do Trabalho;Noite;76;40;1,90;
Barretos;Barretos;Barretos;Ribeirão Preto/Franca/Barretos;Etec Coronel Raphael Brandão;108;Integrado;Gestão e Negócios;Gestão;Administração - MTec-PI;Manhã e Tarde;172;40;4,30;
Barretos;Barretos;Barretos;Ribeirão Preto/Franca/Barretos;Etec Coronel Raphael Brandão;108;Integrado;Informação e Comunicação;Informática;Desenvolvimento de Sistemas - Mtec-N;Noite;60;40;1,50;
Barretos;Barretos;Barretos;Ribeirão Preto/Franca/Barretos;Etec Coronel Raphael Brandão;108;Integrado;Informação e Comunicação;Informática;Desenvolvimento de Sistemas - MTec-PI ;Manhã e Tarde;172;40;4,30;
Barretos;Barretos;Barretos;Ribeirão Preto/Franca/Barretos;Etec Coronel Raphael Brandão;108;Integrado;Ambiente e Saúde;Meio Ambiente;Meio Ambiente - MTec-PI;Manhã e Tarde;117;40;2,92;
Barretos;Barretos;Barretos;Ribeirão Preto/Franca/Barretos;Etec Coronel Raphael Brandão;108;Integrado;Ambiente e Saúde;Saúde;Nutrição e Dietética - Mtec-N;Noite;32;40;0,80;
Barretos;Barretos;Barretos;Ribeirão Preto/Franca/Barretos;Etec Coronel Raphael Brandão;108;Integrado;Ambiente e Saúde;Saúde;Nutrição e Dietética - MTec-PI;Manhã e Tarde;238;40;5,95;
Barretos;Barretos;Barretos;Ribeirão Preto/Franca/Barretos;Etec Coronel Raphael Brandão;108;Integrado;Produção Industrial;Química;Química - MTec-PI;Manhã e Tarde;98;40;2,45;
Barretos;Barretos;Barretos;Ribeirão Preto/Franca/Barretos;Etec Coronel Raphael Brandão (EE Doutor Antonio Olympio);108.01 - Ext/Etec;Técnico;Gestão e Negócios;Gestão;Administração;Noite;74;40;1,85;
Barretos;Barretos;Barretos;Ribeirão Preto/Franca/Barretos;Etec Coronel Raphael Brandão (EE Doutor Antonio Olympio);108.01 - Ext/Etec;Técnico;Gestão e Negócios;Gestão;Recursos Humanos;Noite;38;40;0,95;
Barretos;Barretos;Barretos;Ribeirão Preto/Franca/Barretos;Etec Coronel Raphael Brandão (EE Doutor Antonio Olympio);108.01 - Ext/Etec;Técnico;Gestão e Negócios;Gestão;Serviços Jurídicos;Noite;64;40;1,60;
Barretos;Barretos;Bebedouro;Ribeirão Preto/Franca/Barretos;Etec Professor Ídio Zucchi;151;Técnico;Gestão e Negócios;Gestão;Administração;Noite;77;40;1,92;
Barretos;Barretos;Bebedouro;Ribeirão Preto/Franca/Barretos;Etec Professor Ídio Zucchi;151;Técnico;Informação e Comunicação;Informática;Desenvolvimento de Sistemas;Noite;70;40;1,75;
Barretos;Barretos;Bebedouro;Ribeirão Preto/Franca/Barretos;Etec Professor Ídio Zucchi;151;Técnico;Ambiente e Saúde;Saúde;Enfermagem;Noite;234;40;5,85;
Barretos;Barretos;Bebedouro;Ribeirão Preto/Franca/Barretos;Etec Professor Ídio Zucchi;151;Técnico;Gestão e Negócios;Gestão;Serviços Jurídicos;Noite;63;40;1,57;
Barretos;Barretos;Bebedouro;Ribeirão Preto/Franca/Barretos;Etec Professor Ídio Zucchi;151;Integrado;Gestão e Negócios;Gestão;Administração - MTec-PI;Manhã e Tarde;105;40;2,62;
Barretos;Barretos;Bebedouro;Ribeirão Preto/Franca/Barretos;Etec Professor Ídio Zucchi;151;Integrado;Informação e Comunicação;Informática;Informática para Internet - MTec-PI;Manhã e Tarde;136;40;3,40;
Barretos;Barretos;Bebedouro;Ribeirão Preto/Franca/Barretos;Etec Professor Ídio Zucchi;151;Integrado;Gestão e Negócios;Comércio;Marketing - MTec;Manhã;281;40;7,02;
Barretos;Barretos;Bebedouro;Ribeirão Preto/Franca/Barretos;Etec Professor Ídio Zucchi;151;Integrado;Gestão e Negócios;Gestão;Recursos Humanos - MTec-N;Noite;38;40;0,95;
Barretos;Barretos;Bebedouro;Ribeirão Preto/Franca/Barretos;Etec Professor Ídio Zucchi;151;Integrado;Gestão e Negócios;Gestão;Serviços Jurídicos - MTec;Manhã;127;40;3,17;
Barretos;Barretos;Bebedouro;Ribeirão Preto/Franca/Barretos;Etec Professor Ídio Zucchi (Fundação Coopercitrus/Credicitrus - Bebedouro);151.8 - Cd_Cps;Técnico;Recursos Naturais;Agropecuária;Agronegócio;Noite;84;40;2,10;
Barretos;Barretos;Guaíra;Ribeirão Preto/Franca/Barretos;Etec de Guaíra;304;Integrado;Gestão e Negócios;Gestão;Administração - MTec-PI;Manhã e Tarde;92;40;2,29;
Barretos;Barretos;Olímpia;Ribeirão Preto/Franca/Barretos;Etec Professor José Carlos Seno Junior;232;Técnico;Gestão e Negócios;Gestão;Recursos Humanos;Noite;65;40;1,62;
Barretos;Barretos;Olímpia;Ribeirão Preto/Franca/Barretos;Etec Professor José Carlos Seno Junior;232;Integrado;Gestão e Negócios;Gestão;Administração - MTec-PI;Manhã e Tarde;230;40;5,75;
